car_id,latitude,longitude
1,40.68611953701431,-74.00462425674169
2,40.77257698186431,-73.80168435810944
3,40.75019856501431,-73.84885124812047
4,40.65049092788316,-73.94756055843227
5,40.74878268098047,-73.99097615313987
6,40.86699432582939,-73.92540143967405
7,40.72780876672216,-73.80920949585801
8,40.72956500211825,-73.87174948888756
9,40.76916171999883,-73.94374340143669
10,40.63112619102756,-74.03662147917919
11,40.57680657442734,-73.9523795265313
12,40.67188940165272,-73.98413436404684
13,40.72765383052034,-74.00069340407671
14,40.70778718680307,-74.01302571673986
15,40.66132135761017,-73.93053138013619
16,40.780468901892,-73.94513514050888
17,40.60394066645017,-73.97701083879659
18,40.721051564631686,-73.99987356272126
19,40.70249865853114,-74.01515617430734
20,40.76357801165071,-73.99652827507482
21,40.69265697015746,-73.9785865834417
22,40.72369804822361,-74.00028487087744
23,40.82497745515969,-73.91574733509775
24,40.698409131303016,-73.99514383398271
25,40.75639800603586,-73.98029494253565
26,40.710225639991954,-73.99127459811395
27,40.6678203123416,-73.73421356887842
28,40.78381249694672,-73.98332746062023
29,40.87739512520709,-73.83833645705415
30,40.63901500404048,-74.08623294568935
31,40.76459375967272,-73.9543137169922
32,40.830303453545376,-73.88182316850482
33,40.82805559130462,-73.9164074277926
34,40.665794813531626,-73.7736861226225
35,40.73976367319842,-74.00534424775854
36,40.64068539981137,-73.939836309649
37,40.76668280045397,-73.96357763557408
38,40.55258802892982,-74.20308535204079
39,40.76484894180193,-73.96028208419366
40,40.77778760787325,-73.95498731685144
41,40.75207814042909,-73.88587913759874
42,40.82358780567458,-73.90398114663678
43,40.695966646449854,-73.89100865314369
44,40.70221991624934,-74.01601297689662
45,40.67427900192523,-73.96082081096327
46,40.60465881329684,-73.82219503062431
47,40.6340626473575,-73.8907463067867
48,40.67172207544115,-73.92944586938098
49,40.72555583302141,-73.99271327498185
50,40.74758543622517,-73.74936896691281
51,40.75327752992805,-73.95901852371173
52,40.69062665523887,-73.942692328304
53,40.86060539310586,-73.86655749808368
54,40.706785188624245,-73.91997670622185
55,40.77649432390107,-73.97136706300762
56,40.53407372733527,-74.21129627253848
57,40.75137075228905,-73.9923320999321
58,40.7421810201894,-73.97355021890186
59,40.76676601634722,-73.97314963015421
60,40.68628818533431,-73.85285022261782
61,40.705060964448,-74.0149056962206
62,40.86773338797568,-73.9033031592482
63,40.797912717295375,-73.94924883140672
64,40.8062578667338,-73.93507315758995
65,40.75458558996099,-73.7065120860146
66,40.676313041958814,-73.85361880053355
67,40.72872521395836,-74.00010566234319
68,40.59905060556154,-73.88864782915647
69,40.69138333180111,-73.95877487579274
70,40.7571267193968,-73.85235126857107
71,40.8408358279698,-73.89725599340676
72,40.647586699205206,-73.75027345883026
73,40.70476267098528,-73.96372461439903
74,40.789408455236185,-73.94817234508216
75,40.82535792502368,-73.84398796100729
76,40.60305297433444,-73.94263846379555
77,40.7212368340056,-74.00036948571443
78,40.621483503609085,-73.99812238001643
79,40.72377493521104,-73.99498002906766
80,40.76078942594336,-73.98931218131402
81,40.83372955380152,-73.8624327941242
82,40.87383508281588,-73.82539343511189
83,40.71991953097052,-73.95117895192038
84,40.77499772092796,-73.94973291781938
85,40.69559267378556,-73.7393401592448
86,40.734120325746666,-73.94113604692346
87,40.54135000828726,-74.21833879889068
88,40.8038472316505,-73.91640904188498
89,40.78960664563183,-73.97176788115817
90,40.87164082393871,-73.84102494990027
91,40.83702097484026,-73.893187635796
92,40.66896504108411,-73.99688843555857
93,40.78117764478886,-73.82611573936707
94,40.82775875232905,-73.87235516123282
95,40.77206294466836,-73.97950497457269
96,40.76928246877942,-73.84434442954267
97,40.71224460117887,-74.00738089110148
98,40.70093255083841,-74.16561107557777
99,40.74712775511016,-73.85853680960048
100,40.63720708713101,-74.07072449147604
101,40.82948950234131,-73.85842836184963
102,40.74006494584908,-73.88263310456436
103,40.72905515613351,-74.00031679648707
104,40.63098908782754,-74.19502621486946
