car_id,longitude,latitude
1,-74.10792915484848,40.56350377050499
2,-73.80593315442533,40.7505519635422
3,-73.93379153177476,40.59523312363387
4,-73.80165275890327,40.77810126167328
5,-74.19057541298707,40.5409686120872
6,-73.94562730856364,40.822060417542474
7,-73.99492322734845,40.70218380664809
8,-74.1290974291065,40.53921292102911
9,-73.90624795097641,40.72307754769079
10,-74.01337429894436,40.70160009656798
11,-73.89492254707478,40.62784667677771
12,-74.0987584093363,40.620288347923996
13,-74.01389910512525,40.70157143890918
14,-74.01378493033323,40.716330620752636
15,-73.99752574718242,40.729976213736
16,-73.97932638462534,40.77587985404675
17,-73.96527608168117,40.80492934443578
18,-74.08965908084859,40.630853083620224
19,-73.91219921431693,40.67999174024215
20,-73.95545757232522,40.76898678763631
21,-73.9143902577605,40.86730842644787
22,-73.88718179889344,40.648067686927455
23,-73.90795123400105,40.82377602661301
24,-73.9665119612691,40.59505908181996
25,-73.74829301740026,40.73237694829445
26,-73.96416374154835,40.65937702359133
27,-73.8953541620127,40.72563166509723
28,-73.97238920559407,40.74367358849185
29,-73.9935185563395,40.761902741229555
30,-73.97805273299254,40.741489549604744
31,-73.82165212753485,40.74471103955484
32,-73.92245778014082,40.67071091629651
33,-74.1590308348835,40.557463404527944
34,-73.89454545611342,40.86192350797674
35,-73.74208145783044,40.753613960214565
36,-73.88329311872413,40.76338764048482
37,-73.94742128993862,40.70131040240134
38,-73.84814314100146,40.66512388621913
39,-73.74684084628211,40.73357413809554
40,-73.74743093464365,40.673473837913015
41,-73.80144723619921,40.67424862042141
42,-74.15532443689236,40.59670371889141
43,-73.99101914227276,40.73537077532987
44,-73.93854896575932,40.84237351272556
45,-73.87880131952184,40.87597930190259
46,-73.88721326946235,40.83953284649065
47,-73.97615768466287,40.75415075825817
48,-73.90013466080359,40.83601152125232
49,-73.89421863637118,40.84935009422763
50,-73.86827471684886,40.68262167522111
51,-74.00536544099484,40.66056812526772
52,-73.97233569505882,40.61297490690762
53,-74.00995821329356,40.73620320098726
54,-74.12268012719043,40.544857428812065
55,-73.97778320966368,40.58778233118685
56,-74.01890122592353,40.65182733566521
57,-73.99599602620066,40.73334485799865
58,-73.96613515639174,40.711202526345815
59,-73.91443944060003,40.682509732726864
60,-73.76501692208687,40.70649340842649
61,-73.98574471812661,40.77414627283072
62,-73.91524390072642,40.81108080094958
63,-73.89019523764269,40.70738692417365
64,-73.76490303126019,40.67055380830295
65,-73.98829553622356,40.694130559640534
66,-74.01406727520218,40.70222158174357
67,-73.76556827258024,40.6639205594989
68,-73.97032741238345,40.762043545912135
69,-73.99729671592651,40.582858509380145
70,-74.00189336695784,40.68392113071675
71,-73.98536333091155,40.740411635428586
72,-73.91295458449149,40.863104117286504
73,-74.09884418024754,40.639754043025
74,-73.97946935077205,40.67218979757097
75,-73.9860809252696,40.74990456203107
76,-74.01309069149703,40.7056228977635
77,-73.8003822775959,40.71201497126889
78,-73.98108712585214,40.76449305227935
79,-73.88832349254382,40.86025972339221
80,-73.90537184041567,40.778035566417245
81,-73.78904282296402,40.85639588797331
82,-74.16860936068473,40.535244392141
83,-73.90396185144776,40.877281886903745
84,-73.99409990853866,40.69335520692595
85,-73.80373028951405,40.68168644139004
86,-73.9155295913598,40.66700031479031
87,-73.96440276674545,40.6820805683305
88,-73.86283895435476,40.769192695939964
89,-73.89706397585805,40.8505121442531
90,-74.04015484147284,40.69900868836098
91,-73.87368736821517,40.86786136585048
92,-73.97815643578248,40.698916550826134
93,-73.97852905687299,40.73073471665369
94,-74.08762035999796,40.59198752985481
95,-73.75202876323291,40.719855303928625
96,-73.89338999939086,40.863953863052984
97,-74.1563548435057,40.61883290896062
98,-73.9936715297295,40.67503396154762
99,-73.75139863310766,40.70612570380785
100,-73.86791956867889,40.87055241753083
101,-74.04631979663557,40.690386804576384
102,-73.84096228209413,40.77881463905515
103,-73.97553018747098,40.75336400384579
104,-73.98369489247933,40.696014061990084
105,-73.92041732994686,40.84665512832232
106,-74.01377873750042,40.728599572062166
107,-74.03711241399499,40.61884450650445
108,-73.89889999152001,40.71836321382341
109,-73.75618313470838,40.668836530959226
110,-73.97574523820677,40.71855409274367
111,-73.84217686225162,40.8382859262035
112,-73.91179496144078,40.66451670121777
113,-73.77164739907583,40.6720961502158
114,-73.9293157050865,40.787934289110034
115,-73.91277784991847,40.712654656166684
116,-73.76234841808912,40.7163567055659
117,-73.8874617572577,40.650904148059155
118,-73.78399597419468,40.75247295356706
119,-73.82721488559584,40.78098582508145
120,-73.71255661147592,40.74957037893806
121,-73.9088817489201,40.87485482710981
122,-73.81855677460351,40.70798838653344
123,-73.9582667635666,40.8121085827907
124,-73.9974754784271,40.71186452185014
125,-73.92145967593055,40.86152360132479
126,-73.80493833743759,40.668291224794075
127,-73.81756487091167,40.72719844671419
128,-73.97644469514364,40.57320151786327
129,-74.00091832429742,40.72779613217044
130,-74.00898693839069,40.72842911876904
131,-73.8542881704448,40.89657984749809
132,-73.91056162293545,40.649209780484156
133,-73.90958500845994,40.87411091005632
134,-73.98537890211064,40.72328734627636
135,-73.9278225872931,40.8709443524098
136,-73.9602178366478,40.80612011051218
137,-73.79674955259708,40.747157501862645
138,-73.89625534239096,40.84390175591683
139,-73.88057845739127,40.746100611732935
140,-73.86102398018836,40.83367168241277
